task,input,true_output,predicted_output,prediction_matches
JigsawObscene,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: obscene and non-obscene. A comment is obscene if it is considered offensive to the public sense of decency, for example because it too obviously relates to sex or contains language regarded as taboo in polite usage. Comment: Joe looks more Italian or Portuguese than native. We all know that the arts funding flows greater to those of Indigenous heritage so they go for it any way they can. Just call yourself a human being and forget all the govt. do good crap!",Obscene,Obscene,True
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. Good day off working in yard all day, then getting a whipping in squash, cept for Joe  so it ain't all bad.",positive,negative,False
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. &#8220;@thrillamickilla: @JoeDeLaWolfPack &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; this is me so badly hahahah omg&#8221; yall some pussies",Offensive,Offensive,True
JigsawIdentityAttack,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: identity-attack and non-identity-attack. Identity attack refers to anything rude or disrespectful about someone's identity, including appearance, race, gender, and sexual orientation. Comment: Well, context is everything. There's a huge difference between a strip bar and one's everyday surroundings. One says, ""Objectify me - and pay me $$ to do it,"" while the other says, ""I'm just an average Jo - or Joette - out and about, doing my business."" Do you regard your (or other men's) junk as erotic during a business meeting? Hopefully not.

As for the wiring - though certain evolutionary psychological claims remain controversial, civilization is fundamentally about overcoming some? much? of our wiring. We might be wired to respond aggressively to people who invade our territory (like someone who takes a shortcut through one's yard, or someone who tailgates one on the highway), but that doesn't mean that it is efficient, productive, or right to respond with aggression. We now do all sorts of things for which we are not wired - like getting on the internets. 

Finally, these organizes pay men the highest of compliments - that they are not beasts.",Non-identity-attack,Non-identity-attack,True
HateEvalHate,"In this task, you are given a post in English from online platforms. You are expected to identify whether the post is hateful against immigrants and women. A hateful post expresses hate or encourages violence towards a person or a group. If a post is hateful but not towards immigrants and women, it should be labeled as non-hateful. Answer ""hateful"" or ""Non-hateful"". Note that the URLs in the text have been replaced with [Link]. Post: Joe Arpaio learns the true danger of talking to an immigrant (from Finland) from Sascha Baron Cohen... Who Is America? | [Link] via @YouTube",Non-hateful,Non-hateful,True
AmazonFood,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review. I first discovered Kettle Chips with sea salt and vinegar while shopping at Trader Joe's with my daughter Mindy.  I couldn't believe how tasty they were; the best chip I had ever eaten.  It was love at first bite, and I've been munching them ever since.  Other things in their favor: they're thicker than other chips, so don't crumble as I'm devouring them; they're delightfully crunchy; and the salt-and-vinegar combination is heavenly.  I tried to create an original line to describe this palate-pleasing taste treat, but couldn't beat what the manufacturer said: tongue-puckering tang and crunch.  Isn't that poetic?  As for health values, since Kettle Chips are not peeled during preparation, I'm getting more nutrition, such as potassium and vitamin C.  My mother would approve of that, and the fact that they're hand-cooked in small batches.  I often enjoy Kettle Chips as an afternoon snack with my favorite soda or iced tea, but they're also delicious with a tuna sandwich or a hot dog for lunch.  Well, actually Kettle Chips go perfect with everything ... except ""sweets,"" of course.  My only problem is that they're so delicious I can't stop eating them.  That's the reason I chose these smaller packets; I figured 24 could last me almost a month, if I was a good girl, kept my appetite under control--and hid them from the kids!  For the sake of fewer calories, I try hard and have succeeded so far.  It isn't easy, but ...  Have I told you how much I love them?  Reviewed by: Betty Dravis, 2008 Millennium Babe: The Prophecy",Positive,Positive,True
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. @joeylattime @Mawson38 @ameriC00N thats just me rooting against a team I hate not banwagoning u retard u have a different favorite",Hate Speech,Offensive,False
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. @joeymcintyre @JonathanRKnight The others have tinked and I told them g'morning so I thought I'd go ahead and tell you too as well. ",positive,negative,False
AmazonFood,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review. Did not smell as fresh as I had hoped.  My cat was uninterested.  Trader Joe's has organic catnip that comes with a scratcher for $6.99 which smells much more potent.  Maybe try a different brand?",Negative,Negative,True
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. @ZP3_ the little girl Tom Sawyer gets trapped in the cave along with Injun Joe and almost die. injun Joe dies and they find his treasure",Neither,Offensive,False
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. @joeymcintyre Is he eating a chicken nugget?? My son loves em too! SO Cute ",positive,positive,True
JigsawThreat,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: threat and non-threat. Threat is a statement that someone will be hurt or harmed, especially if the person does not do something in particular. Comment: Youtube has the black and white ones from the 50's - eminently watchable (and as usual, it is amazing who turns up as guest criminals before they got famous)..

I grew up on re-run fillers of the coloured series from the 1960's...I love how stiff Jack Webb is.. there was a youtube feature that talked about just how economical he was in filming. everything he did was one take, and if you look at it, the shots rarely have both talkers in the same frame.. That way you could shoot one actors lines/scenes one after the other, and edit them together for a ""dialog"" later.

(added bonus, the first time I went to Los Angeles, every thing was exactly where Joe Friday said it would be - albeit with a whole bunch of new growth around it all.)

Pure genius.

(second favorite - Law and Order, Jerry Orbach era...along with all the sly references by this season's intern asking if Jack McCoy also slept with the interns that preceded her)",Non-threat,Non-threat,True
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. #southcarolina has a highschool graduation rate near 50% and that's why they have so many uninformed #teabaggers #morningjoe",Neither,Offensive,False
HateEvalHate,"In this task, you are given a post in English from online platforms. You are expected to identify whether the post is hateful against immigrants and women. A hateful post expresses hate or encourages violence towards a person or a group. If a post is hateful but not towards immigrants and women, it should be labeled as non-hateful. Answer ""hateful"" or ""Non-hateful"". Note that the URLs in the text have been replaced with [Link]. Post: #Brooklyn artist creates immigrant version of classic 'Life' board game [Link] via @JoeMauceriPIX11",Non-hateful,Non-hateful,True
AmazonFood,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review. Unfortunately my dear sweet cat did not think this food was so dear or sweet. She only ate it when she knew there would be nothing else and she NEVER finished what I gave her. She normally eats EVERY SINGLE BITE of her food but constantly turned her nose up at this. She really enjoys Bench & Field's Holistic Natural Feline Formula (from Trader Joe's) and also Purina's Naturals Cat Chow. Sorry, Halo, I REALLY wanted her to like this!",Negative,Negative,True
HateEvalHate,"In this task, you are given a post in English from online platforms. You are expected to identify whether the post is hateful against immigrants and women. A hateful post expresses hate or encourages violence towards a person or a group. If a post is hateful but not towards immigrants and women, it should be labeled as non-hateful. Answer ""hateful"" or ""Non-hateful"". Note that the URLs in the text have been replaced with [Link]. Post: .#BuildTheWall ! RT if you agree Todays Illegals are Tomorrows Democrats! No more #IllegalImmigration !NODaca #NOChainMigration #SecretSociety #TuesdayThoughts #MorningJoe #WednesdayWisdom @realDonaldTrump @FiveRights @StockMonsterVIP",Hateful,Non-hateful,False
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. @Bluezircon27 6am is pretty good for Joey.  He NEVER sleeps past 8, and rarely sleeps past 7. It's ok though. ",positive,positive,True
AmazonFood,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review. The <a href=""http://www.amazon.com/gp/product/B005V9ZB8Q"">Walkers Shortbread Dark Chocolate, Ginger Royals, 4.4-Ounce (Pack of 4)</a> arrived in time for dessert so I was very excited to immediately open the package and break out the cookies to serve with vanilla ice cream.  The chocolate had clearly been melted at some point, with a muted color, irregular coating, sticking to the packaging.  These cookies were very unsuccessful and a great disappointment. My Dad loved the two types of Walkers shortbread cookies I brought to him, the <a href=""http://www.amazon.com/gp/product/B001EPQ18K"">Walkers Shortbread Lemon Thins, 4.2-Ounce Boxes (Pack of 4)</a> and <a href=""http://www.amazon.com/gp/product/B001GCVLVI"">Walkers Shortbread Assorted, 8.8-Ounce Boxes (Pack of 6)</a>, so these were much anticipated for a dark chocolate and ginger lover.  They were absolutely lousy and ended up in the trash.  The cookies were extremely chewy, sticking to the teeth, but I'm not sure if this is the nature of the cookies or simply the batch we received.  We opened each box, finding all cookies in the same condition -- messed up chocolate sticking to the package, cookies overtly sticky.  If I can find these in a b&m store, I'll update, but won't order online again. Trader Joe's triple ginger cookies have a better texture and taste so we'll have a piece of dark chocolate with those for the desired combination. I may try dipping those cookies in melted bittersweet chocolate, leaving an edge free for easy holding.",Negative,Negative,True
JigsawIdentityAttack,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: identity-attack and non-identity-attack. Identity attack refers to anything rude or disrespectful about someone's identity, including appearance, race, gender, and sexual orientation. Comment: Of course, Joemat-Pettersson resigned as an MP after President Jacob Zuma reshuffled his cabinet and she lost her job. Any parliamentary process would thus preclude her.
    She got out of that one . And criminal proceedings ?
Is a lie told to Parliament not a lie if the liar is no longer in Parliament ?",Non-identity-attack,Non-identity-attack,True
AmazonFood,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review. Wonderful, smooth, satisfying decaf coffee with a fabulously rich flavor.  No chemical aftertaste, like many decafs I've tried.  Apparently, the Swiss Water Process used to decaffeinate this coffee leaves flavor intact, something I've found terribly disappointing in other brands.  I've been VERY impressed by the flavor dimensions of this Riviera Sunset blend; served it to some neighbors (who simply won't touch decaf coffee) who were pleasantly surprised to find they actually enjoyed a cup of decaf.  No bitter notes; my husband, who usually complains fervently about the flavor of decaf, has been asking for a cup of this every evening, after dinner.  Believe me, this alone is QUITE an endorsement!  I love using my <a href=""http://www.amazon.com/gp/product/B0011528S0"">Zojirushi CD-WBC30 Micom Electric 3-Liter Water Boiler and Warmer, Champagne Gold</a> for coffee, tea, and cooking.  I brew my coffee a cup at a time with an individual Melitta brown paper filter <a href=""http://www.amazon.com/gp/product/B001E5E0T2"">Melitta Cone Coffee Filters, Natural Brown, No. 2, 100-Count Filters (Pack of 6)</a>and filter cone (similar to this one:<a href=""http://www.amazon.com/gp/product/B001794Q0S"">Ready Set Joe/Mug</a>) and found that the extra fine grind of the Riviera Sunset blend imparted an unusually rich, deliciously multidimensional flavor.  Much fresher than conventional, by-the-pot coffee.  This method also allows me to brew strong coffee (for me) and a milder version for my hubby.  Take time to ""bloom the grounds"" first (add a little hot water to the fresh coffee grounds, moistening completely, and then wait about 30 seconds before brewing) for best flavor (this goes for ANY coffee).  Melitta's Riviera Sunset decaf blend is enthusiastically recommended by a coffee snob!  You'll love it as is, no sweeteners or creams needed to disguise this wonderful flavor.  I look forward to ordering more.  Update 9/21/10:  Just ordered my first 3-pack through Subscribe & Save; great deal for some delicious decaf!",Positive,Positive,True
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. HI  @70srocker: &quot;Hello DJ's: @joechapman @TrainWreckRadio @jonezing4pizza @Pamslove @girlpiper @ChaseM15 @Lu... ? [Link]~7d31i",positive,positive,True
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women &amp; children http:&#8230;",Hate Speech,Hate Speech,True
JigsawObscene,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: obscene and non-obscene. A comment is obscene if it is considered offensive to the public sense of decency, for example because it too obviously relates to sex or contains language regarded as taboo in polite usage. Comment: So Neville and Joe were buddy-buddy on this. Damned Brits.",Obscene,Obscene,True
JigsawInsult,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: insult and non-insult. Insult is any lanugage or act that is disrespectful or scornfully abusive. Comment: And here all thought Justin was the drama guy. Holy cow Joe, how on earth did you hold back the tears?",Non-insult,Non-insult,True
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. OH NO @morningmika are you saying the Democrats lost the #teabagger vote? LMAO bobble head #morningjoe",Neither,Offensive,False
JigsawIdentityAttack,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: identity-attack and non-identity-attack. Identity attack refers to anything rude or disrespectful about someone's identity, including appearance, race, gender, and sexual orientation. Comment: Stole the election huh?   More like had it handed to them by an incompetent bunch that arrogantly presumed it was theirs to keep.  For your edification, today's Democrats aren't your ( or my ) daddy's, and your trotting out the 1960's nostalgia file only underlines the point. Trump got elected in large measure because the Democrats are little better than Republicans( and worse in some aspects) when it comes to economic issues faced by your average voter. As a matter of fact, a number of well-knowns have made the case that Richard Nixon was our last truly ""liberal""( you know, supporting all the good domestic stuff, Watergate excepted) president. Reviewing the record, I'd have to agree. Stick that in your partisan pipe and smoke it. 

""Trumplicans don't even support voting rights. They're un-American and fascists who love Putin.""

Just substitute ""communists"" for ""fascists"" and you'd be right at home with Joe McCarthy. Your a true patriot.",Non-identity-attack,Non-identity-attack,True
JigsawObscene,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: obscene and non-obscene. A comment is obscene if it is considered offensive to the public sense of decency, for example because it too obviously relates to sex or contains language regarded as taboo in polite usage. Comment: ""I guarantee ya. Barack Obama ain’t takin’ my shotgun, so don’t buy that malarkey, don’t buy that malarkey. They’re gonna start peddlin’ that deal. I got two, if he tries to fool with my Beretta he’s got a problem. I like that little over and under–you know I’m not bad with it.”  -  Joe Biden 2008

Let's see if gary crum or Joe Scarborough or Hillary want to comment on that death threat.",Non-obscene,Obscene,False
JigsawToxicity,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: toxic and non-toxic. Toxicity is defiend as anything that is rude, disrespectful, or unreasonable that would make someone want to leave a converation. Comment: Joe u dumb shit",Toxic,Toxic,True
JigsawIdentityAttack,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: identity-attack and non-identity-attack. Identity attack refers to anything rude or disrespectful about someone's identity, including appearance, race, gender, and sexual orientation. Comment: This dunce Hancock isn't going anywhere unless he gets caught with a live boy or a dead girl.

Come election, who is going to run against him?  Some bland Joe Schmo we have never heard of, that's who.

It's crazy that some competent, reasonable business person doesn't step up.  Someone with a positive view of people who work to achieve something and pay taxes, who is not willing to reward society's leeches, and who would reverse Denver's sanctuary city policies. 

Would they win?  Probably not.  But you never know.  Just rolling over for this clown Hancock isn't right.

I would love to be a part of a group that marches into city hall and arrests Hancock for impersonating a mayor!",Non-identity-attack,Non-identity-attack,True
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. Joeys team lost 9-7 today.  Good game though. There was a 9 y/o pitching 50+ MPH down the middle most every time.",negative,negative,True
ReviewPolarity,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive. This is essentially a live action G.I. Joe film for people with IQ's below 85. I walked out after about 5-10 minutes. I changed the ticket over to Jackass 2 and laughed harder than I have in years during a movie.",Negative,Negative,True
JigsawThreat,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: threat and non-threat. Threat is a statement that someone will be hurt or harmed, especially if the person does not do something in particular. Comment: One of Donald Trump’s foreign policy advisers, Joseph Schmitz, doubted the extent of the Holocaust and bragged about firing “the Jews” at the Defense Department.

“In his final days, he allegedly lectured on the details of concentration camps and how the ovens were too small to kill 6 million Jews,” Meyer wrote.

Joe Schmitz left the George W. Bush administration in 2005 to take the Blackwater job, a move that came after Schmitz was reportedly informed he was the focus of a congressional inquiry into whether he blocked two criminal investigations of Bush officials the year before.

Schmitz is the son of the late John G. Schmitz, the former ultraconservative congressman from Orange County, California.

As a sitting congressman, John Schmitz refused to comment after he wrote the foreword and endorsed the publication of a book that contained widely-condemned anti-Semitic propaganda and was written by a longtime member of the John Birch society.

They learn it at their daddy's knees.",Non-threat,Non-threat,True
AmazonFood,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review. These cups were difficult to cap (putting the lids on securely was a comedy show) and they created a mess when used in the Keurig; the water went everywhere.  Add together PIA and MESS with an end outcome of weak cup o' Joe = I'm not a very happy buyer.",Negative,Negative,True
JigsawThreat,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: threat and non-threat. Threat is a statement that someone will be hurt or harmed, especially if the person does not do something in particular. Comment: Oooooohhh.............oooga booga............come out,  Joe Miller.........oooooh.  Come out Randy Ruedrick....oooga booga yoooooooooooo toooooooooooooooooooo,  Tuckerman Babcock.....you're free........freeeee.........freeeeeee.",Non-threat,Threat,False
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. @joeypage omg you want to hear about raining? once i got home from school there was thunderstorms nonstop in MD... crazyy. ruined weekend ",negative,negative,True
JigsawThreat,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: threat and non-threat. Threat is a statement that someone will be hurt or harmed, especially if the person does not do something in particular. Comment: Conservatives are so fearful of people who are different that they automatically assume each has an ""agenda,"" and that he or she is trying to commit a subversion just by living his or her life.  Certain groups do have movements in order to band together for protection, but, so long as these do not promote violence, they are not to be feared.  People really do just want to live their lives and to be treated like ""everyone else.""  I'll never forget the evening 30 years ago when I heard Mike Rosen expound on the ""homosexual agenda.""  As a gay man, I said to myself ""Joe, did you know you have an agenda?  WOW!""  My dad was in the room with me, and we both looked at each other in amazement that someone could say such a thing.  All I ever wanted to do was live my life free to be the person I was, without judgment or restriction. 
(cont'd.)",Non-threat,Non-threat,True
JigsawIdentityAttack,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: identity-attack and non-identity-attack. Identity attack refers to anything rude or disrespectful about someone's identity, including appearance, race, gender, and sexual orientation. Comment: Which automatic prison sentences for paperwork issues are these, Joe Dick?",Non-identity-attack,Non-identity-attack,True
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. At work... Missing my routine cup of joe ",negative,negative,True
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. @joeysulipeck @myfoxmemphis the minute those red n yellow for rent signs go up the reg. ppl start selling n move",Neither,Offensive,False
HateEvalHate,"In this task, you are given a post in English from online platforms. You are expected to identify whether the post is hateful against immigrants and women. A hateful post expresses hate or encourages violence towards a person or a group. If a post is hateful but not towards immigrants and women, it should be labeled as non-hateful. Answer ""hateful"" or ""Non-hateful"". Note that the URLs in the text have been replaced with [Link]. Post: @JoePerticone Or as @AnnCoulter said, Most Hysterical Woman",Non-hateful,Non-hateful,True
JigsawObscene,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: obscene and non-obscene. A comment is obscene if it is considered offensive to the public sense of decency, for example because it too obviously relates to sex or contains language regarded as taboo in polite usage. Comment: Bullshit analysis  Sheriff Joe was targeted for doing what Obumo and his cronies would not do.",Obscene,Obscene,True
HateEvalAggressive,"In this task, you are given a hateful post in English from online platforms. You are expected to classify the post into two classes: aggresive or non-aggresive. An aggresive post is one that expresses feelings and opinions in an abusive way and tries to dominate others. Note that the URLs in the text have been replaced with [Link]. Post: @JoeNBC The cowards are the corrupt establishment. Trump and the American working class will win over the D.C. establishment. #MAGA #Kavanaugh #walkaway #burtreynolds #BuildThatWall @realDonaldTrump @RealJamesWoods @IngrahamAngle @DonaldJTrumpJr @LouDobbs",Aggresive,Non-aggresive,False
HateEvalHate,"In this task, you are given a post in English from online platforms. You are expected to identify whether the post is hateful against immigrants and women. A hateful post expresses hate or encourages violence towards a person or a group. If a post is hateful but not towards immigrants and women, it should be labeled as non-hateful. Answer ""hateful"" or ""Non-hateful"". Note that the URLs in the text have been replaced with [Link]. Post: @JoeNBC The cowards are the corrupt establishment. Trump and the American working class will win over the D.C. establishment. #MAGA #Kavanaugh #walkaway #burtreynolds #BuildThatWall @realDonaldTrump @RealJamesWoods @IngrahamAngle @DonaldJTrumpJr @LouDobbs",Hateful,Non-hateful,False
HateEvalAggressive,"In this task, you are given a hateful post in English from online platforms. You are expected to classify the post into two classes: aggresive or non-aggresive. An aggresive post is one that expresses feelings and opinions in an abusive way and tries to dominate others. Note that the URLs in the text have been replaced with [Link]. Post: @BaconJoel @JxhnBinder @AnnCoulter @realDonaldTrump Dumb f**k! Not a single illegal voted for the guy who will #BuildThatWall!",Aggresive,Non-aggresive,False
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. @JoeMcIntyre Hi Joe! I see you have come to join the craziness here ",positive,positive,True
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. LMAO Joe was calling whitehouse offering advice. Yeah the President cares what a disgraced FORMER redneck House guy from fl says #morningjoe",Neither,Offensive,False
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. Damn Joe Buck just making it sound like Greinke was trash when he played for the Royals. Chill out Joe.",Neither,Hate Speech,False
JigsawObscene,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: obscene and non-obscene. A comment is obscene if it is considered offensive to the public sense of decency, for example because it too obviously relates to sex or contains language regarded as taboo in polite usage. Comment: Joe u dumb shit",Obscene,Obscene,True
AmazonFood,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review. Our family loves these tasty and healthy sesame honey almonds by Trader Joe's.  You get the crunchy flavor of the sesame seeds combined with the subtle sweetness of the honey and almond flavoring.  Wow--it's a great snack that you feel good while eating.  It is my favorite of Trader Joe's almond snacks.  Almonds are good for you and a handful of these in the morning with a fruit smoothie or as a snack at lunch is a great way to get protein, the healthy fat and the Vitamin E that almonds offer. It's a good idea to measure out 1/4-1/2 cup of these almonds or count the almonds out to stay in the calorie range you want to keep within. Nutritionist recommend having a small amount of almonds or walnuts each day for good fat and protein.",Positive,Positive,True
JigsawInsult,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: insult and non-insult. Insult is any lanugage or act that is disrespectful or scornfully abusive. Comment: 'notsohotjoe' You are a moron.",Insult,Non-insult,False
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. &#8220;@Nadixo__: ""@joelxmontoya: I'm dreaming &#128525;&#128525; http://t.co/Y21PyZ5rai"" ewwww&#8221;bitch you must be fucked up &#128514;&#128514;",Offensive,Offensive,True
HateSpeechOffensive,"Classify the given tweet into the three categories: (1) 'Hate Speech', (2) 'Offensive' and (3) 'Neither'. 'Hate Speech' is kind of a threating statement or sometimes include call for violence while 'offensive' statement just offensds someone. 'Neither' is when it doesn't fall into Hate Speech or Offensive category. + 1 RT @RayThaGawd: &#8220;@_AListRaivyn: Joe Budden makes people delete their twitter accounts lmfao.&#8221; He's pussy tho he blocked me""",Offensive,Offensive,True
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. @joeymcintyre hope ya understand? If not, i can do for u?? Hope I've helped  Donna",positive,positive,True
TweetSentiment,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content. @TickleMeJoey loved ur hair in the live chat last night ",positive,positive,True
HateEvalHate,"In this task, you are given a post in English from online platforms. You are expected to identify whether the post is hateful against immigrants and women. A hateful post expresses hate or encourages violence towards a person or a group. If a post is hateful but not towards immigrants and women, it should be labeled as non-hateful. Answer ""hateful"" or ""Non-hateful"". Note that the URLs in the text have been replaced with [Link]. Post: @janjan_collins @EricsonTina @sabine_durden @volalupi @POTUS @realDonaldTrump No One believes  that Myth! Legal Workers Line Up for Restaurant Jobs After Sheriff Joe  #Immigration Raids [Link] via @YouTube",Non-hateful,Non-hateful,True
ReviewPolarity,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive. The CD will not grab you at first, its not as catchy as Lagwagon's previous releases, but with a few listens it makes the argument for greatest Lag album ever. The flow through out the whole thing is perfect. The CD is dedicated to Derrick (the bands original drummer) and with that comes a lot of emotion, dealing a lot with reflection, moving on, and self-discovery, the lyrics here are very well crafted. I absolutly cannot stop listening to this record. It's got so much to offer. The highlights of the album for me ""Runs in the Family"", ""The Controtionist"" and ""Days of New"", which will most likley give you the chills if youre a die hard lagwagon fan.I truly belive that Joey Cape is one on the most incedible song writers of the past couple decades. Listen to Lagwagon along with his side project Bad Astronaut and you have the makings of a musical genious. Cant wait for the upcoming tour! Keep making music guys!",Positive,Positive,True
JigsawToxicity,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: toxic and non-toxic. Toxicity is defiend as anything that is rude, disrespectful, or unreasonable that would make someone want to leave a converation. Comment: Now that he's put Mika and Joe in their place, it's time for some pussy grabbing!",Toxic,Toxic,True
ReviewPolarity,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive. Any fan of the Band's music would get a lot out of seeing this documentary, which reveaks the creative process that went into their two masterworks, ""Music From Big Pink"" and ""The Band"". Band"" the story of Music from Big Pink is also covered here. Great interviews and stories from producer/engineer Joe Simon, and band members Robbie Robertson, Levon Helm, Garth Hudson and Rick Danko as well as a fitting obit to Richard Manuel.",Positive,Positive,True
AmazonFood,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review. I love peanuts and I also love salt but these nuts have very little taste EXCEPT salt.  Believe me, there is not much that I consider ""too salty"" but these certainly qualify.  Also, as another reviewer mentioned, they are bland - not peanut-y.  Trader Joe's ""blister peanuts"" are far superior to these. Indeed, I think a commercial brand like Planters is probably superior (and much cheaper).  After this purchase, I am still on the lookout for peanuts better than I can purchase in the grocery store. Sorry I got them.",Negative,Negative,True
JigsawThreat,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: threat and non-threat. Threat is a statement that someone will be hurt or harmed, especially if the person does not do something in particular. Comment: ""An upgrade in armament is okay with me. I did hire them to beat and kill people I don't like. ""
That's not what police are for.
You want Joe Pesci, not a policeman.",Threat,Threat,True
